generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
0,4,0.00027263670193079125,0.0003194779385609877,0.00029623930295532907,1.1733694860479339e-05
1,4,0.0002692457441870041,0.0003244150386272831,0.0003000165174051499,1.3880001500627225e-05
2,4,0.00027999602376158213,0.00032879710200313557,0.0003042881798807992,1.4583146598560349e-05
3,4,0.0002787577826418189,0.00033869885950894873,0.0003094062209337351,2.0090685373120083e-05
4,4,0.0002750789909476689,0.0003349342147725407,0.0003077752268020282,1.5013146054844451e-05
5,4,0.00027752896377784863,0.0003367962811784251,0.00030794906688429873,1.2921922839980432e-05
6,4,0.0002869735614596958,0.0003314733340742112,0.00030604308009201037,1.0279453760577153e-05
7,4,0.00028717666463331,0.00032298081685082564,0.0003071742795829127,8.62012286068548e-06
8,4,0.00029346835053320274,0.0003323012594236524,0.0003120908229751453,1.274890436775142e-05
9,4,0.00028496449596893093,0.00033505757478391603,0.0003122067631205622,1.3121164993900082e-05
10,4,0.00028199907520455353,0.000339616563352176,0.0003131965630447009,1.7705248502410595e-05
11,4,0.0002793416702559531,0.00033511841885757577,0.0003089156305419508,1.3598668583840981e-05
12,4,0.0002815347216665221,0.0003350011768659019,0.00030531822904096675,1.656381242146792e-05
13,4,0.000276745706466969,0.0003441653241688675,0.00030565501397465336,1.9873834902323093e-05
14,4,0.00028406673728362464,0.00034763842438358133,0.0003151640915726891,1.902188421155078e-05
15,4,0.0002819066823406944,0.0003580512500344736,0.0003163182530092689,1.975060444447634e-05
16,4,0.0002781911944150156,0.0003531472448498621,0.00031588448517508376,2.1771243589039766e-05
17,4,0.00027389105682375025,0.0003552692768541559,0.0003207849399711726,2.27193999663293e-05
18,4,0.00026852812097404564,0.0003533439559532169,0.0003202939050829746,2.1696609879158538e-05
19,4,0.00027808338756218004,0.00034822204015661054,0.00031320792960650893,1.6648483155094052e-05
20,4,0.00028648223517011717,0.00035020736433454284,0.0003122039602352592,1.705790752417661e-05
21,4,0.00028989350921444253,0.0003500319423414349,0.00031451201625777803,1.9627494648347517e-05
22,4,0.00030048999598828574,0.00034719458671487866,0.00032462590630825104,1.4722623925191393e-05
23,4,0.0002988749584215975,0.0003447016405388262,0.00031929414001964586,1.6424711071422644e-05
24,4,0.00028659972963888166,0.00034509462589485363,0.00031642570565465033,1.713976124945772e-05
25,4,0.0003031355970998043,0.00034509462589485363,0.00032334090178107514,1.2717880406259435e-05
26,4,0.00028715640891559886,0.00034279094940697767,0.0003166580375780208,1.7098814929637895e-05
27,4,0.00028651645143923284,0.0003395462113150407,0.00031734117914494493,1.5328842872165895e-05
28,4,0.0002856053764133373,0.0003407203778185529,0.0003239455669996797,1.3134282864817423e-05
29,4,0.00030347389089742475,0.0003407203778185529,0.00032480281641885923,1.233117476240478e-05
30,4,0.0002893597771696949,0.0003504245316620729,0.0003184238297048368,1.6191867992136972e-05
31,4,0.0002925286286967579,0.00035439420682129583,0.000318819752508626,1.8385033290339595e-05
32,4,0.00028321142488207485,0.0003551890159895043,0.00032117366152870433,2.305004861863376e-05
33,4,0.0002881953180254476,0.00035070899241157835,0.00032170908731637304,1.7436220145828532e-05
34,4,0.0002826908937970681,0.0003558065497840358,0.000316717997676821,1.8591147822375023e-05
35,4,0.00027918585960123643,0.0003558065497840358,0.0003208865332488172,1.891702753021526e-05
36,4,0.00029163984093641724,0.0003558065497840358,0.00032213562743723284,1.526940156420817e-05
37,4,0.0003012116485468706,0.00035552947705167983,0.00032344593006140637,1.4351815911131974e-05
38,4,0.00028702191633654586,0.0003530352082397892,0.00031361122026860825,1.797362767532872e-05
39,4,0.00029670721747458544,0.00035826075840387887,0.00032094470769262817,1.850914933525451e-05
40,4,0.0002948540591726962,0.00035826075840387887,0.0003168598692383777,1.8586823839216208e-05
41,4,0.00029047075119816094,0.00035826075840387887,0.0003213859950790635,1.8534196454527524e-05
42,4,0.00028141947303024484,0.00035479492783761215,0.00031694653413572276,1.8681241529369055e-05
43,4,0.00027792865289485904,0.00035479492783761215,0.0003137429929064484,2.0356318559900196e-05
44,4,0.00027741669172118456,0.00035479492783761215,0.00031943626257533873,1.7914405994215292e-05
45,4,0.0002907431786054922,0.00035479492783761215,0.00031591940076907093,1.8006360687586288e-05
46,4,0.00028398834294247216,0.00035479492783761215,0.00031143471573814646,2.126910822940319e-05
47,4,0.0002853664971054667,0.00035479492783761215,0.00031739020931980777,1.6515194680432867e-05
48,4,0.000293298073436821,0.00034790149833364146,0.000318162753350121,1.5082319124688476e-05
49,4,0.000290243560022015,0.00034284157620660167,0.0003175690606640921,1.7061220450348746e-05
50,4,0.0002947153290846849,0.000342373669320725,0.0003155068795116152,1.4626579107469644e-05
51,4,0.0002967009713285945,0.000342373669320725,0.0003199878857855843,1.8045021196428812e-05
52,4,0.0002941575569303516,0.0003420632224656582,0.00031860341123002474,1.3499777150926407e-05
53,4,0.00029291839415586493,0.0003413499424703878,0.00031656022495290935,1.3196862541327533e-05
54,4,0.0002852733425918174,0.00034075509651577377,0.0003154390484274371,1.449116502019363e-05
55,4,0.00028619981615395546,0.0003415627481613986,0.00031763061034179913,1.8033328622255074e-05
56,4,0.00029571071145221585,0.00034061937897524595,0.0003182700016835033,1.4681511877075737e-05
57,4,0.00030054160686589953,0.00034240015481958773,0.0003175600183139192,1.2555189376824414e-05
58,4,0.00029357359816641873,0.0003447842492234924,0.00031696464042441525,1.569025613290163e-05
59,4,0.00028090730744037876,0.0003447842492234924,0.0003089320144998503,1.9061838456042415e-05
