generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
0,4,0.00029859984619130694,0.0003453988317104095,0.00031825717548019695,1.414218064181338e-05
1,4,0.00030479787548600513,0.0003423709717342319,0.00031991249584971453,1.1955444338454912e-05
2,4,0.0002950621790037906,0.00034609434823499794,0.0003197654247944979,1.4159381365457464e-05
3,4,0.0002882668907535367,0.00034293711373399187,0.0003241466725812187,1.2511617058586325e-05
4,4,0.0003050729192195166,0.00034749157578017534,0.00032699130839310657,1.215460487160789e-05
5,4,0.00029200596705066195,0.0003357515123071349,0.0003230131815017624,1.1960869718911399e-05
6,4,0.0002866052432955795,0.0003357515123071349,0.00032273450370855477,1.1066591354166748e-05
7,4,0.0002940131869412758,0.00034484485921875747,0.0003212089673287137,1.3858853097003082e-05
8,4,0.00030933330414204376,0.0003401174427060385,0.00032597799420948267,1.0251289585251409e-05
9,4,0.0003002203318553238,0.0003482281256177739,0.0003295517604426159,1.297236280238359e-05
10,4,0.0003046747862278151,0.00034420148482651924,0.0003264884697230898,1.23025669163625e-05
11,4,0.00029882555111788566,0.0003572448929664083,0.0003284800636932384,1.4126300612788441e-05
12,4,0.0002925938490765316,0.0003545598457864784,0.0003201866182085708,1.538948730094477e-05
13,4,0.00030953738564738515,0.0003514983195456264,0.0003303759980806256,1.0543197644418066e-05
14,4,0.000298722449440811,0.0003522686330894348,0.0003274226780640904,1.287840974034959e-05
15,4,0.00031390755712201333,0.00034873068421833146,0.0003309181712653614,1.117151294950798e-05
16,4,0.0003053164447779802,0.00034783395441736646,0.00032555925153464956,1.1081682798180807e-05
17,4,0.0002988287572008867,0.0003541042703218297,0.0003265445445043232,1.2474311141707147e-05
18,4,0.00030064751003384624,0.0003550490277826353,0.00032597911794607067,1.5741936120768468e-05
19,4,0.0003050922546770197,0.0003576237050667564,0.00033230400525986146,1.2464886998692704e-05
20,4,0.00030630685845751997,0.0003625336477638442,0.00033457942804529143,1.4883589264804774e-05
21,4,0.00029351818831141945,0.0003620712656260694,0.00033612476198410703,1.74305919509369e-05
22,4,0.00030909075010048345,0.0003557593398144229,0.0003284092208955975,1.4030781974216568e-05
23,4,0.00030600016232339936,0.0003574456718790475,0.0003309528018765128,1.4558157817917968e-05
24,4,0.0003061640866796887,0.00035106429535352777,0.00032881823223600466,1.2462841472421509e-05
25,4,0.00031364769966657095,0.0003462819234365291,0.0003309441830389454,1.0359854803986289e-05
26,4,0.00031081278542797856,0.00036461085291676274,0.00033094678896098507,1.657415628231684e-05
27,4,0.00030454011367955585,0.00035734548700406383,0.00032984289363240923,1.635844210503412e-05
28,4,0.0003048984098251238,0.00035734548700406383,0.0003331289195999051,1.4280922021233692e-05
29,4,0.00031692641470075413,0.00035734548700406383,0.000329896360172209,1.1292045665028634e-05
30,4,0.0003096902728097646,0.00035734548700406383,0.000327516218658845,1.1909651503808822e-05
31,4,0.0003033672850342037,0.0003513632264021704,0.0003272818354290193,1.2978288349161261e-05
32,4,0.0002994265010346916,0.00035499284751561736,0.00033172651700952494,1.3109411824450895e-05
33,4,0.0002964173310530958,0.0003556753110030287,0.0003279509152124624,1.4698690915842715e-05
34,4,0.000301386780557691,0.0003556753110030287,0.0003316066944824179,1.3469273672721569e-05
35,4,0.00031668197055667867,0.0003582308510481145,0.0003289015887214361,9.077757923320547e-06
36,4,0.00031169197272068965,0.0003496849448693691,0.00033006802996702185,1.1600439531114217e-05
37,4,0.0003016513536471836,0.00035833334912981226,0.00032906787046622086,1.5347263626191197e-05
38,4,0.00030484029218732334,0.00034821626604495217,0.00033078800757091963,1.3361807508254145e-05
39,4,0.00030997476263715235,0.0003500749217655322,0.0003306667530867845,1.4000920990529996e-05
40,4,0.0003005911559454034,0.000354771645742531,0.00033010186587656193,1.5774858758236842e-05
41,4,0.0003062213145133887,0.000354771645742531,0.00032541059441311366,1.3790801815598382e-05
42,4,0.0003061289626763017,0.0003583507253474736,0.0003313535319699579,1.294558496297784e-05
43,4,0.00030308617183859066,0.0003598540044942672,0.000331354263038498,1.8511144090784178e-05
44,4,0.00030533472409171973,0.00036056858383736097,0.00033520233514560966,1.6455282783451353e-05
45,4,0.0003075764832041263,0.0003618976623635672,0.0003356478478034922,1.709333654590869e-05
46,4,0.000316400649602018,0.00035767561543067117,0.0003366537976439673,1.1124997601183035e-05
47,4,0.0003131044280968342,0.00035096525535283996,0.0003292020644759746,9.155309756198753e-06
48,4,0.0003046813973305967,0.00035105445403133104,0.000333289294013525,1.0792856479929211e-05
49,4,0.00030632820182013593,0.0003678653657495062,0.00032995320633778227,1.722801598816219e-05
50,4,0.00030775974921011485,0.0003552011009589804,0.0003305701457021076,1.2779281716776193e-05
51,4,0.00030849152520738305,0.00035274490064867017,0.00033275375714405186,1.3367497216733096e-05
52,4,0.0003019991120051551,0.00035274490064867017,0.0003275692582199673,1.636611384521745e-05
53,4,0.00031238401423642917,0.00036128232384378706,0.0003334311570933033,1.3900085310534889e-05
54,4,0.00029721719066801345,0.00036128232384378706,0.00032839346707838444,1.4668961849383087e-05
55,4,0.0002941038676768915,0.00036138899281183,0.00032895035398387016,1.693578375949903e-05
56,4,0.00030221015790602107,0.00036138899281183,0.0003250808486350514,1.5824642247825956e-05
57,4,0.00030016147782848914,0.00036435591005040164,0.0003276923733545446,1.7905614473163357e-05
58,4,0.0003026321667144518,0.00035861259277787037,0.0003328881116680761,1.647883862860553e-05
59,4,0.00030061806554657777,0.00034875134963471756,0.00032830500756572315,1.1910107776911295e-05
