generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
0,4,0.0002307877744044207,0.0002679170178022572,0.0002488882027177237,9.113633211398735e-06
1,4,0.00023217651771073386,0.0002686713823160753,0.0002521925609932319,1.1375419185854406e-05
2,4,0.00023206882161044403,0.00028225341594496754,0.00025661895567414194,1.533363198624445e-05
3,4,0.00023567452337183446,0.0002931436932631616,0.0002602331341165848,1.4204395245981675e-05
4,4,0.00023989942446161008,0.0002889626733534424,0.00026040959530934264,1.5955136828941636e-05
5,4,0.0002302983335791126,0.0002817650950354764,0.0002616420409946398,1.503156686067086e-05
6,4,0.00024525519354131047,0.00029396373946140823,0.0002670721473586027,1.5153266627350871e-05
7,4,0.00024167450446681383,0.00029396373946140823,0.000268868361129921,1.7300136783998103e-05
8,4,0.00024088446889920323,0.0002864888546930404,0.00026100661185182814,1.330951477520832e-05
9,4,0.00024242816019923503,0.00029189331285301237,0.0002635710455159085,1.4758023193948213e-05
10,4,0.00023748356241231938,0.00029398011855401345,0.0002661924575623485,1.839066701689902e-05
11,4,0.0002420570463620407,0.00029398011855401345,0.00026955475723505247,1.6408292753113678e-05
12,4,0.00025585506297469564,0.00028871109782773813,0.0002721352849856908,1.2038049836283968e-05
13,4,0.00025148098030913194,0.00028995005180463575,0.0002683362457050612,1.1663432681850753e-05
14,4,0.0002422743209981201,0.00028995005180463575,0.0002648502410603377,1.5032688711630612e-05
15,4,0.00024408102892146442,0.00028995005180463575,0.0002627797576739665,1.1687204011920621e-05
16,4,0.00024863778086598164,0.00028995005180463575,0.0002670060060520278,1.2322597042297716e-05
17,4,0.00024437744790450975,0.0002939710983255751,0.00026539708928854087,1.345220499195637e-05
18,4,0.00024468747142600495,0.00029607501017113485,0.00026689754866661734,1.549285887516362e-05
19,4,0.0002389128200688885,0.0002907006689121588,0.00026183111782652715,1.5707465991584492e-05
20,4,0.0002445675602452158,0.0002907006689121588,0.00026749841078292663,1.583757727806421e-05
21,4,0.00024343694306574405,0.0002907006689121588,0.00026974647227853314,1.2146083990218204e-05
22,4,0.00025086118270555046,0.0002907006689121588,0.0002715371985302115,1.1677679649027448e-05
23,4,0.000256450425095554,0.0002907661961602183,0.0002743740352005467,1.1787431252985693e-05
24,4,0.0002571788457692667,0.0002878247960041249,0.00027230289048298226,1.0532315883957455e-05
25,4,0.00025096615266718167,0.0002933403854053892,0.0002709970803604327,9.593390913952578e-06
26,4,0.0002514214179087656,0.00028609189617923996,0.00026908392504361065,1.1415695342217975e-05
27,4,0.0002448955076170404,0.00028609189617923996,0.0002637099796951075,1.3265755449372904e-05
28,4,0.00024112970266950226,0.0002867407891496848,0.0002661939656919102,1.413860935393561e-05
29,4,0.00024276409734075568,0.0002867407891496848,0.0002648877173677913,1.4243095500555986e-05
30,4,0.00024232783053299107,0.0002867407891496848,0.0002622395968195921,1.4629214534788063e-05
31,4,0.0002392979696722003,0.0002867407891496848,0.0002634722698395712,1.5882642279413002e-05
32,4,0.0002428136119586703,0.00028684818237484843,0.0002658721855616171,1.2982945665761736e-05
33,4,0.0002487018261764495,0.00028684818237484843,0.0002708062632503972,1.1800829266993542e-05
34,4,0.00024857067897361343,0.00028684818237484843,0.00026796494728872157,1.2478594293051966e-05
35,4,0.00024556296498623415,0.00030256401798795706,0.0002698649522093128,1.292810646879752e-05
36,4,0.00025486289251054395,0.00030256401798795706,0.00027110297122643023,1.4178089275420961e-05
37,4,0.0002318527513441184,0.00030019503477234327,0.0002658539135557235,1.7535527004757095e-05
38,4,0.00023194686136433377,0.00029289350649808795,0.0002693574677751407,1.60066590976185e-05
39,4,0.00024135682598010479,0.00029289350649808795,0.0002679428419987995,1.539265659104995e-05
40,4,0.0002488124493946294,0.00029289350649808795,0.0002695205269749011,1.293766339939167e-05
41,4,0.0002409420754167056,0.0002956073747406431,0.00026449989843593434,1.5562393674151974e-05
42,4,0.0002417351556580883,0.00029703766560970016,0.00026557706491669856,1.5281517796777065e-05
43,4,0.00023985142143647346,0.0002902530360402824,0.00026806557227000303,1.4992106907322294e-05
44,4,0.0002463374403383301,0.00029273080131595445,0.0002665801744331038,1.4250621544517284e-05
45,4,0.0002408657844453679,0.0002913730418049282,0.000262686978414457,1.3773705644226472e-05
46,4,0.00024454179839367813,0.0002806458084819645,0.00026055143247274114,9.837596877524412e-06
47,4,0.00023407050632421935,0.0002932789285754233,0.000257568584491845,1.41379975746398e-05
48,4,0.00023306475143501965,0.00030464236850185977,0.00025812926733909027,1.7747715196385674e-05
49,4,0.00023527959537392618,0.0002986514907372196,0.0002609340547613003,1.4690423311158877e-05
50,4,0.00024115470220824526,0.0002861011311691416,0.00026104187311748597,1.3834519261283306e-05
51,4,0.00024203356349186626,0.00027508590191452803,0.0002602584690185888,9.459439582719345e-06
52,4,0.0002466952803118202,0.00029497610515416447,0.0002585646453244719,1.3375148739139293e-05
53,4,0.0002407211664952979,0.00029894016428241583,0.00026540134979637466,1.975700970420943e-05
54,4,0.00023832379124326674,0.0003075032939753446,0.0002663365499160588,2.0014612731818332e-05
55,4,0.00024607262938763756,0.00030271962540956464,0.0002715902325800093,1.995898078305371e-05
56,4,0.0002399046980657024,0.0002981045959844954,0.00026161315114076907,1.6229683746732146e-05
57,4,0.0002399737405313209,0.0002949453540983046,0.00026284667033377033,1.699470689042884e-05
58,4,0.0002370305790476786,0.0002735995378371142,0.0002561679085027487,1.10945917035698e-05
59,4,0.00024244085737710778,0.0002767555035073561,0.0002602928726447036,1.0306393922552727e-05
