generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
0,4,0.00029859984619130694,0.0003453988317104095,0.00031825717548019695,1.414218064181338e-05
1,4,0.0003029459392622425,0.0003478057296372917,0.00032281002521867283,1.2685206618961564e-05
2,4,0.00030882563325683877,0.000340293271144421,0.00032183875854054436,1.03957152744802e-05
3,4,0.0003117840386915874,0.0003426943076588818,0.00032604260396296863,9.517236223097429e-06
4,4,0.00029158124717688596,0.0003426943076588818,0.0003198931093599429,1.3948501961097932e-05
5,4,0.0002984985731058894,0.00033610352397989173,0.0003230490050235411,9.760939861258886e-06
6,4,0.0003091335115574032,0.00034301093100868853,0.0003220929764484299,9.028766134932026e-06
7,4,0.00029889455596756177,0.00034845018951309173,0.000325870674043347,1.2353122418489042e-05
8,4,0.00029543337876660456,0.00035385142053154906,0.0003230696337925941,1.823291677683518e-05
9,4,0.00030957311064762843,0.00034798344678313073,0.0003255189752761834,1.43971330326121e-05
10,4,0.00030693330404473574,0.0003514911993635537,0.0003289174258197064,1.4036609681244884e-05
11,4,0.0003002480779592356,0.0003507451850259268,0.00033310670935448634,1.3979186050583549e-05
12,4,0.0002985489079159473,0.0003507451850259268,0.00033092619585326194,1.39694997264472e-05
13,4,0.00031978965722158484,0.0003465351234821089,0.0003301488340878611,8.668016145763174e-06
14,4,0.00031111487263023286,0.0003465351234821089,0.00033333931016546524,1.1539667104929818e-05
15,4,0.00030717874577208045,0.0003561538776817399,0.00033648761238663376,1.5448297189865282e-05
16,4,0.0003040760730376472,0.00037481766479445104,0.0003342578521321285,1.4989248693049335e-05
17,4,0.000309602423404593,0.00035635134796988536,0.00033669095026525993,1.2854811502884897e-05
18,4,0.00031374596177863366,0.00035729418710674066,0.00033469724521476864,1.3142258629599659e-05
19,4,0.00031142064000731805,0.00035729418710674066,0.00033344815333000085,1.3706168396247605e-05
20,4,0.00030618270481299,0.00035729418710674066,0.0003341909360200101,1.4088050406567984e-05
21,4,0.00031634810602574796,0.000357416260816968,0.00033750417379969564,1.077084947510346e-05
22,4,0.0003147552202562976,0.0003607171459042333,0.0003380663946546787,1.3739632673565193e-05
23,4,0.0003081225181035184,0.0003757097033301592,0.0003406121520599042,1.5580492887012654e-05
24,4,0.0003150654420824553,0.0003694224525522447,0.000333196911314901,1.590340023028056e-05
25,4,0.0003062691869369793,0.00037001967130034785,0.0003396392569564513,1.9938762209489722e-05
26,4,0.00030605179317071796,0.0003694224525522447,0.0003425733630525834,1.5600323303653465e-05
27,4,0.00030021311168270016,0.00036948344948803613,0.0003468372636727073,1.9316613627010975e-05
28,4,0.0003218014517725862,0.00036948344948803613,0.0003482111765946705,1.284294190448288e-05
29,4,0.0003178572997147341,0.0003749159208861712,0.0003428921989643592,1.5761412274163736e-05
30,4,0.00031141927941413864,0.0003749159208861712,0.00033849974226028354,1.7564367482152872e-05
31,4,0.00030790266210203984,0.0003749159208861712,0.00034366823234429055,1.8853869410904866e-05
32,4,0.0003016175839669694,0.0003749159208861712,0.00034143223379072866,2.0798738102138176e-05
33,4,0.000311570179064064,0.00037935982506253843,0.0003478975772916981,1.7052907097273626e-05
34,4,0.0003088988897359303,0.00037935982506253843,0.0003368684449187061,2.0658910137296357e-05
35,4,0.0003070338344203264,0.00038517571154069276,0.0003419907002914547,2.008290064412738e-05
36,4,0.0003080382915888775,0.00038517571154069276,0.00034006939639656713,2.121735066073075e-05
37,4,0.0003018620871944461,0.00038517571154069276,0.0003397217708184548,2.227509752921512e-05
38,4,0.0003151744839673275,0.00038517571154069276,0.00033941542781729323,1.782427294546628e-05
39,4,0.00031379782933408577,0.00038517571154069276,0.0003421464467917879,1.793025237330216e-05
40,4,0.0003248345381735348,0.00038517571154069276,0.0003473443093530975,1.548846922354715e-05
41,4,0.00029878628525214015,0.00038517571154069276,0.0003467262128770613,2.186434245954617e-05
42,4,0.0003182240409842591,0.00038517571154069276,0.0003468812511326556,1.9335580944060246e-05
43,4,0.0003235222048725114,0.00038831430882498415,0.00034985634455626314,1.7896832230406198e-05
44,4,0.00030992928856012867,0.00037246235621453156,0.0003426480175176581,1.768631516870341e-05
45,4,0.0003152008743564643,0.0003741504348475713,0.0003408101421121097,1.7119002623863857e-05
46,4,0.0003189672281820222,0.00037321559042896325,0.0003459417482993494,1.388189118555905e-05
47,4,0.0003126388565822783,0.0003761570677387204,0.00034115715787205167,1.4833275713406758e-05
48,4,0.00031754398361769065,0.0003761570677387204,0.0003384583326450274,1.6862313377663614e-05
49,4,0.000316099632668532,0.0003617980745210476,0.0003345697613625427,1.4039765713694537e-05
50,4,0.00030302543720067226,0.000376907496406739,0.0003336376242386597,2.0818265263719156e-05
51,4,0.00031061027508344274,0.0003617980745210476,0.0003292483634052551,1.4612906199603273e-05
52,4,0.00031253025114932615,0.0003480721225390863,0.0003291454357985046,8.852150245231352e-06
53,4,0.0003108679926001894,0.00035833085044805076,0.00033377140564549805,1.2375556380336133e-05
54,4,0.0003153886795935102,0.0003728720248428951,0.0003374619476288759,1.1593437981492742e-05
55,4,0.00032030333958321466,0.0003728720248428951,0.00033443584851490114,1.3266032927662244e-05
56,4,0.0003051913660456091,0.00035093486552822625,0.0003304707999575349,1.1670726868020072e-05
57,4,0.0003078420570888874,0.0003716487747152404,0.00033153930258487046,1.6604809622723066e-05
58,4,0.000296468183646398,0.00035046131344936915,0.00032888182944465673,1.3003615159242053e-05
59,4,0.00031740239313674803,0.00035229031911072813,0.0003329155618904617,1.0328237302763079e-05
