generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
0,4,0.00021093034090870528,0.00024137169031798633,0.0002251927591482348,8.951173266500886e-06
1,4,0.00021559596792591518,0.00025229348753706086,0.00023002242174648932,9.144302823499453e-06
2,4,0.0002094075794729388,0.0002530489720144792,0.00023011852364692467,1.034168484589403e-05
3,4,0.00021230297449763646,0.00024554797106207573,0.00023167922365457174,8.22709662214963e-06
4,4,0.00022143077568940626,0.00024768070702650203,0.00023051256973155525,8.355274849161975e-06
5,4,0.00021744065701862056,0.00025869501358593617,0.00023423870281260697,1.2116463981602244e-05
6,4,0.00022215417101111576,0.00026415011182077616,0.0002376535557582641,1.2184112888239305e-05
7,4,0.0002306640157183941,0.00025974230184491666,0.0002448789478414914,9.90695616701434e-06
8,4,0.00021509433781507397,0.00025730042117003555,0.0002414854535311561,1.08057357144381e-05
9,4,0.00021550828694685104,0.000261208850371441,0.00024149193697738184,1.3418827142513702e-05
10,4,0.00021867183596073353,0.00026330282657055693,0.00024248563164515477,1.268612259410028e-05
11,4,0.0002319190566268263,0.00026330282657055693,0.0002443822677018132,7.888828915240416e-06
12,4,0.00022693440564586795,0.0002677229754025796,0.00024325115519996664,1.1854925644191994e-05
13,4,0.0002283008978198969,0.00025997639950000955,0.00024407438876130507,8.641384981845166e-06
14,4,0.00022520772542456317,0.0002571544426472151,0.00024062626441210904,8.876168708812058e-06
15,4,0.00022108635253175447,0.0002569542308280536,0.0002404534007176997,1.0972310871248737e-05
16,4,0.00020146652173090988,0.0002543886451494548,0.00023636389784514465,1.3665325154565284e-05
17,4,0.00022277949841536087,0.0002586840209287906,0.000239575938362715,1.1325726141272644e-05
18,4,0.00021581687812694385,0.0002577555520661305,0.00023974951904955983,9.196273058946166e-06
19,4,0.00022893903054121116,0.0002654243101299642,0.00024208520097672906,1.1539737582627332e-05
20,4,0.00021932925400671024,0.0002654243101299642,0.00024252273508461948,1.3090315744716658e-05
21,4,0.0002170833670392864,0.0002654243101299642,0.000245408426057632,1.3854053931669326e-05
22,4,0.00022917640882544023,0.0002654243101299642,0.00024386263984256523,1.0612060708515935e-05
23,4,0.0002275504506841414,0.0002654243101299642,0.00024247801656946893,1.2226921195528996e-05
24,4,0.0002154276253894454,0.0002613661083192574,0.0002392523672193331,1.3219325412019437e-05
25,4,0.00021986273688973413,0.0002564524999507955,0.00023996305501038039,1.0748253323919453e-05
26,4,0.00021355867737820968,0.00025717907761968256,0.00023654469864960075,1.4394917497156047e-05
27,4,0.00021916033571443773,0.00026554392091431245,0.00023847061835030963,1.5114947783061875e-05
28,4,0.00022041084263276962,0.00026554392091431245,0.00024236100254678366,1.205905679953229e-05
29,4,0.00021338067839768646,0.00026554392091431245,0.00024038820262176782,1.4571556357837464e-05
30,4,0.00020848912370846946,0.00026554392091431245,0.00024285076489346911,1.5537235417739143e-05
31,4,0.0002120697625997096,0.00026786980936304626,0.0002428368718778371,1.5369002187485244e-05
32,4,0.0002166328011285115,0.00026786980936304626,0.00024417216976834675,1.3466457451969758e-05
33,4,0.00021900025257824175,0.00026786980936304626,0.0002457835782584643,1.3900079967611172e-05
34,4,0.0002149484334325166,0.000271775476884162,0.00024329138144191118,1.6406363834166125e-05
35,4,0.00020923328411502116,0.00026944300893526617,0.0002453884216606108,1.5824816033643588e-05
36,4,0.00022061025982705057,0.00026944300893526617,0.0002455516468496614,1.3899337489879325e-05
37,4,0.00021700188073542817,0.00027211122105662034,0.00024596400000986547,1.5343417852592342e-05
38,4,0.0002221373653901908,0.0002785137269627439,0.00024705143280297226,1.6460547578639924e-05
39,4,0.00023071601185657503,0.0002785137269627439,0.000252114091307502,1.2342690621055217e-05
40,4,0.00022408187360933087,0.0002698912464244904,0.00024484957482133875,1.4756634493142026e-05
41,4,0.0002176612867790066,0.0002691688073802397,0.00024403062577224647,1.4406133137723376e-05
42,4,0.00022078972932206118,0.0002678261579796694,0.0002447244374701724,1.336176825217325e-05
43,4,0.00022973862801269228,0.000272576961024286,0.00024801445790586304,1.215052956091877e-05
44,4,0.00021775661001011045,0.000272576961024286,0.00024371707926526548,1.511546656434361e-05
45,4,0.0002222320265658987,0.00028422500871441226,0.000245310071067371,1.5697636324502092e-05
46,4,0.00022258430434317318,0.00028617038860207866,0.00024389955246045654,1.7550795271929138e-05
47,4,0.00022705790743373543,0.0002869607064896791,0.0002453000226394852,1.5547441164198894e-05
48,4,0.0002232769693547331,0.0002869607064896791,0.00025186902686138936,1.578437398737776e-05
49,4,0.00022238301872158203,0.0002869607064896791,0.00024679449996414934,1.3535953279921484e-05
50,4,0.0002201562686530585,0.00028063610146758755,0.00024630869404455727,1.3834332330751173e-05
51,4,0.0002225793863250765,0.00028063610146758755,0.00024601866723319526,1.5604829145349505e-05
52,4,0.0002188685036844241,0.00028063610146758755,0.0002465177842589045,1.5240162859228265e-05
53,4,0.00022502303122734602,0.00028063610146758755,0.000245302350570406,1.4267428738158034e-05
54,4,0.0002279878297628809,0.0002833389532318088,0.0002452294950112612,1.5255958353653616e-05
55,4,0.00021834780931243163,0.0002833389532318088,0.00024547727829245166,1.655769855980921e-05
56,4,0.00020271862685808945,0.0002833389532318088,0.0002464561704797057,1.9265189384147863e-05
57,4,0.0002167814582189889,0.0002833389532318088,0.00025403003449123304,1.8330980844175783e-05
58,4,0.00022009226785253425,0.0002767022547902049,0.0002549492285246415,1.5359318933509996e-05
59,4,0.00022686380532763729,0.0002767022547902049,0.0002549691389365645,1.5183021314970622e-05
