generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
0,4,0.00029859984619130694,0.0003453988317104095,0.00031825717548019695,1.414218064181338e-05
1,4,0.0002957336371179289,0.00034522360798528253,0.00032359842668139836,1.4759833931675883e-05
2,4,0.0003080550989659044,0.00034522360798528253,0.00032733426490369645,1.100366985108668e-05
3,4,0.00030421846531245554,0.0003572533475371191,0.0003316809471678306,1.7293520672742906e-05
4,4,0.0003051680019873691,0.0003607586197232301,0.0003309152892927296,1.4159131991588613e-05
5,4,0.0003056962353214107,0.0003625727395543423,0.00033107526477404146,1.51654178165421e-05
6,4,0.0003054386418114929,0.00035974971493802537,0.00032852913487417323,1.4703372406359082e-05
7,4,0.00030585693013601933,0.00037434492586427986,0.00033138552315379704,1.9338606631667673e-05
8,4,0.0003070009464043364,0.0003772110337228831,0.00033681538947908827,2.191998459484093e-05
9,4,0.00031374921798867046,0.00036086037406644607,0.000337482970072295,1.4418773736560587e-05
10,4,0.0003056341762394839,0.00036105373992348795,0.00033903939160948254,1.6159709512529443e-05
11,4,0.0003121284621801669,0.00036087537787237784,0.0003311620729537923,1.5413926462404826e-05
12,4,0.0003106989888322735,0.0003520949707576755,0.0003301025232834312,1.1181402306839574e-05
13,4,0.0003036356742905146,0.0003520949707576755,0.0003283135111250437,1.3813119664448592e-05
14,4,0.0002953656278005183,0.0003520949707576755,0.0003253380505738526,1.4407046339075527e-05
15,4,0.0003051911208870987,0.00035001381547850594,0.00032530935953078587,1.2515211285226885e-05
16,4,0.00031316628906079145,0.00034789060931244545,0.00032576970763871987,1.1187655924706946e-05
17,4,0.0003071218086519925,0.00034587411795268167,0.0003304952043666035,1.0643469889918846e-05
18,4,0.00030829143417467926,0.00036505386739292604,0.0003317430715945112,1.463107790133154e-05
19,4,0.000302747829474439,0.0003578757450977146,0.0003268677919396691,1.4861332175192452e-05
20,4,0.00031425362378911256,0.00035504338377527093,0.0003375055929923868,1.181608452262934e-05
21,4,0.00030812075852223135,0.0003675558439312453,0.000338309077714981,1.3193684487062322e-05
22,4,0.00030349970209876497,0.00035164804399001235,0.0003332975619503332,1.3557623246006208e-05
23,4,0.0003060812978534811,0.00036674441297228,0.00033223073240075125,1.815941107137601e-05
24,4,0.00030349986572304126,0.00037194682399598186,0.00033285641700142924,1.8647598285594108e-05
25,4,0.0003042647168812672,0.00036081053039922376,0.0003303003995850957,1.5769552438860517e-05
26,4,0.0003107245808275849,0.00035431975366451656,0.0003319783179332852,1.4470550907651407e-05
27,4,0.0003105530032078036,0.00035606222739226163,0.0003328727546636864,1.2577512374733163e-05
28,4,0.00029215331336912944,0.0003565491037980739,0.0003316363956290232,1.5007315569495694e-05
29,4,0.000289721758028653,0.0003695826067883611,0.0003332457785314547,1.9692177630618036e-05
30,4,0.0003163938117764556,0.00036164164513825977,0.0003389159033305448,1.3955369634163953e-05
31,4,0.0003237277383752405,0.0003660400223831517,0.0003417048446895472,1.2945256458255246e-05
32,4,0.00030648561831019764,0.0003580658901054472,0.00033586336945318657,1.2421847671649845e-05
33,4,0.0003012860270484484,0.00036120036858312284,0.00033329903832519573,1.7909879571558746e-05
34,4,0.0003102280179255472,0.0003540676970946042,0.0003301518884748078,1.4478398557244158e-05
35,4,0.00029707069139932947,0.0003687743039539607,0.0003343406487663537,1.4964304064873196e-05
36,4,0.0003051026099256214,0.0003673993072827468,0.0003349912632304422,1.448241763108442e-05
37,4,0.00029473647872877627,0.00036180581388089647,0.00033065260473823097,1.5551321631836464e-05
38,4,0.0003084095348402917,0.00036180581388089647,0.0003317597890248546,1.3897696751718073e-05
39,4,0.00030658195125789065,0.00034880068031324847,0.0003286235074926809,1.096577456538371e-05
40,4,0.000292542353502216,0.0003524909156812701,0.0003299013256470078,1.7161495459523574e-05
41,4,0.0003082369520147537,0.0003444286742650681,0.0003304400531798989,8.571043569131408e-06
42,4,0.0003115804296152594,0.0003555103175443322,0.00032842929932539643,1.0903890724433788e-05
43,4,0.00031412644325595215,0.0003467868776250188,0.0003292935065476349,9.737175307299707e-06
44,4,0.0003051384291464088,0.0003474053461829271,0.0003277645725709981,1.1760281293910254e-05
45,4,0.00030304180736526854,0.0003521278434843149,0.0003288294192319806,1.3336900824495856e-05
46,4,0.0003126705560242561,0.00034431969119593875,0.0003322575471778416,9.933429580216762e-06
47,4,0.00030242102319293616,0.00034913816240889523,0.00032250885690499596,1.4996072951343815e-05
48,4,0.00031119317103064947,0.00035414729732307303,0.0003286805123783815,1.164952649785268e-05
49,4,0.00031539206543925694,0.0003510712205441709,0.00032760525782025155,9.40973970024216e-06
50,4,0.0003118621915015441,0.0003642857143534558,0.00032820149597027236,1.2167448261780334e-05
51,4,0.00030619185877400865,0.00035347062086477543,0.00032947260563290996,1.1122973257019632e-05
52,4,0.0002947488352909657,0.00034983388596078756,0.0003296783726238652,1.656195256301541e-05
53,4,0.00030217863440664636,0.00035026905373918205,0.00032580108043983515,1.3460600019206158e-05
54,4,0.000315938291889138,0.00034793019500375336,0.00032692685646381947,9.111941010520226e-06
55,4,0.0002997895410980162,0.00034739426843659674,0.00032498342432709726,1.1789331661086739e-05
56,4,0.00030106211354578215,0.00035766444972713064,0.0003265936579503969,1.279432350363526e-05
57,4,0.0003096709495920857,0.00035766444972713064,0.00033164258095702657,1.3174054893218712e-05
58,4,0.00030353151462889923,0.00035766444972713064,0.0003300823314772021,1.4570819496960505e-05
59,4,0.00029422119180500905,0.00035766444972713064,0.0003291407809787453,1.4780051149687793e-05
