generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
0,4,0.00029859984619130694,0.0003453988317104095,0.00031825717548019695,1.414218064181338e-05
1,4,0.00028677928359086154,0.0003423709717342319,0.0003227621967838743,1.5029969313785036e-05
2,4,0.00030192959646443165,0.00034036281699788425,0.00031833671355403943,1.245947825330673e-05
3,4,0.0003014572310948291,0.0003395167580820581,0.0003212879025897944,1.14915911034045e-05
4,4,0.00030214145626153953,0.0003395167580820581,0.00032224556379187785,9.901025219504549e-06
5,4,0.0003050327495969768,0.0003448241727860104,0.0003247952917347987,1.2088337897989059e-05
6,4,0.0003026367910781819,0.0003448241727860104,0.0003265374393802149,1.1168167728676643e-05
7,4,0.0003073737420232633,0.0003448241727860104,0.00032652718014464243,1.0996842954304184e-05
8,4,0.0003098828141826727,0.0003614776366785322,0.00033474351781153364,1.2696756577812754e-05
9,4,0.00030410815834719504,0.00035486248603656766,0.00032686725733367943,1.3791539027624507e-05
10,4,0.0003087652041133897,0.00034809656376659097,0.0003275180471363873,1.2455177042114152e-05
11,4,0.00030570426509245657,0.0003664192380860989,0.00033957936451460585,1.5445624641177472e-05
12,4,0.0003096146124276644,0.0003597261863906659,0.00032699589052403446,1.3538188799311776e-05
13,4,0.00030314824219468433,0.00035880144854047246,0.0003278651234702975,1.2989799047041872e-05
14,4,0.0003039092732043893,0.00034489891192465553,0.00032573439061021333,1.4068960756134937e-05
15,4,0.000295973157180575,0.00035169537194771824,0.00032603679197647765,1.496698040944338e-05
16,4,0.00028170736613369163,0.00035450575043872556,0.0003327275350149389,1.8421919433994352e-05
17,4,0.00029364401093690613,0.0003576781721541354,0.00032671192592384,1.676068323332661e-05
18,4,0.0002912708725050119,0.0003608567252261553,0.000328405399953856,1.5456044409180376e-05
19,4,0.0003061090443557556,0.00034993781994147646,0.00033056342233689774,1.2685785350603619e-05
20,4,0.000308011148046583,0.0003571130908747596,0.0003350693763108866,1.0606866198416128e-05
21,4,0.00029762321561049664,0.0003571130908747596,0.0003328352825988146,1.4588836692986653e-05
22,4,0.00031298110904624896,0.0003571130908747596,0.00033296379218907457,1.1706541854060488e-05
23,4,0.00030644977844347237,0.00035575469210732415,0.0003277310029150866,1.2009679742474449e-05
24,4,0.00029776385631379097,0.000357783741667023,0.0003278870520048077,1.8406758820718676e-05
25,4,0.00030236714956438177,0.000357783741667023,0.0003285932226943884,1.5860384071965093e-05
26,4,0.000304031291502544,0.000357783741667023,0.00033560340127738824,1.4439055562757381e-05
27,4,0.0003143330305244524,0.000357783741667023,0.00033828228397963405,1.1901979373943165e-05
28,4,0.000317864738052479,0.00035920842014205837,0.0003322109898988303,1.0453040349750591e-05
29,4,0.00030633840849701466,0.00035920842014205837,0.0003288406882142751,1.5703804391644014e-05
30,4,0.00030822660600777585,0.00036694417063309106,0.0003335589315075869,1.7378550636587723e-05
31,4,0.0003055714793632614,0.0003608355715385439,0.0003341879816891476,1.5012232698405146e-05
32,4,0.000309338051251806,0.0003679069586020779,0.00033318966207281943,1.7788210120362922e-05
33,4,0.00030256286868294446,0.0003679069586020779,0.0003397224868660375,1.967401464609832e-05
34,4,0.0003212665727022046,0.0003811379353638238,0.00034863548434789813,1.965698136535935e-05
35,4,0.00031346020256867727,0.00036395837874511703,0.0003368437627730229,1.3247787232275999e-05
36,4,0.0003130909052773731,0.00037229655049972874,0.0003389181266930072,1.690667511354193e-05
37,4,0.0003203304783729367,0.00036289073185062897,0.00034116196719054134,1.328324025116656e-05
38,4,0.00031052512963145826,0.000393869654878584,0.0003444639311079775,2.042091140949747e-05
39,4,0.0003136890635882769,0.000393869654878584,0.0003410818004638462,2.0210124241536524e-05
40,4,0.00031409358672230273,0.000393869654878584,0.00034735570779714623,1.874063198767112e-05
41,4,0.0003119239065834909,0.000393869654878584,0.00034914589613031343,2.1124690788147847e-05
42,4,0.0003156259778212089,0.000393869654878584,0.00035411383728308095,1.924548619433344e-05
43,4,0.00032404987522031297,0.000393869654878584,0.00035051901857594686,1.6927924253392996e-05
44,4,0.00031738788542018094,0.0003767975396581228,0.0003474857516130556,1.5429000600233328e-05
45,4,0.00032748817071958915,0.0003767975396581228,0.0003434644416585148,1.5591481229499582e-05
46,4,0.0003063073528984302,0.00037910652131278974,0.0003513517535660523,2.207526329204586e-05
47,4,0.0003147207332527092,0.00037910652131278974,0.0003429967472288048,1.934923158775769e-05
48,4,0.00029481942685709767,0.0003847575587283027,0.0003356126472248217,2.5685526436336745e-05
49,4,0.00030698013626449604,0.0003847575587283027,0.00034281198123455145,2.2791844703660794e-05
50,4,0.0003198555129787729,0.0003774212472532195,0.00034112390733211567,1.7955554868538977e-05
51,4,0.00031064298252844584,0.0003774212472532195,0.00034040890629153634,1.6890980135426006e-05
52,4,0.00032996605128701815,0.0003774212472532195,0.0003437374431462638,1.3827647077524235e-05
53,4,0.0003176108949657907,0.0003780296547686148,0.0003448642122638011,1.615758084526084e-05
54,4,0.0003117982194855608,0.0003808901592019252,0.0003425321853788426,1.883113153299304e-05
55,4,0.00030676835133601276,0.0003810247644741805,0.00034182369369731535,2.0241684366323128e-05
56,4,0.00030538603243548853,0.00038239283500880955,0.000341592664077186,2.1318304262043615e-05
57,4,0.00031073661602761714,0.0003857026853037808,0.0003472932570513721,2.1520409404020827e-05
58,4,0.0003208223206697869,0.0003725689457106736,0.0003463997159047849,1.660914504493169e-05
59,4,0.00029648682070213586,0.0003760097367523111,0.0003405016361534951,1.8820046857015375e-05
