generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
0,4,0.00029859984619130694,0.0003453988317104095,0.00031825717548019695,1.414218064181338e-05
1,4,0.0002992557097553849,0.0003423709717342319,0.0003179881963232896,1.2267854153047275e-05
2,4,0.00030764211370202843,0.0003474254254347235,0.0003252319985622004,1.0222904775940551e-05
3,4,0.00031139400100474576,0.0003549691118878301,0.00032689156296019354,1.1840479295599671e-05
4,4,0.00030371613859697964,0.00036146157157750336,0.00032458983362238127,1.461090942927129e-05
5,4,0.0002999887705602843,0.00036146157157750336,0.0003281428388180278,1.87683738817532e-05
6,4,0.00030774896569824543,0.0003630837797198444,0.00033315401069964153,1.2854063629692887e-05
7,4,0.00030932616428768254,0.00035616540061505564,0.00032737139395718363,1.1669013685559504e-05
8,4,0.0003089594366964411,0.0003537686302232339,0.00032731390633392623,1.3786719297383962e-05
9,4,0.000291445241007451,0.00036246335213689645,0.000327356736618572,1.850184263933866e-05
10,4,0.0003156566868743494,0.00035647470552408427,0.0003322880005548027,1.1869263235513857e-05
11,4,0.0003167085324195335,0.0003482610059507949,0.0003309632182904248,8.559262118440384e-06
12,4,0.00030583214717872593,0.0003432026975123637,0.0003306440214946245,9.506633552071989e-06
13,4,0.00030357146815810396,0.0003544643368441418,0.0003263894491162711,1.3678899754478434e-05
14,4,0.0003051890268890937,0.0003544643368441418,0.0003246015111590567,1.3878383883907621e-05
15,4,0.000302995930549086,0.0003470098516793634,0.0003219149412587565,1.1200121409451877e-05
16,4,0.0003027082763748271,0.0003470098516793634,0.00032725247168258686,1.058039116946612e-05
17,4,0.000309365201264491,0.00036023445175711763,0.0003280146166480675,1.375383835987055e-05
18,4,0.00030462032004655335,0.0003537225002700487,0.00033094329897283075,1.1022700527959577e-05
19,4,0.00029710385595084043,0.00034851534651608805,0.00032516567080054476,1.4842116961717212e-05
20,4,0.00030715686758033136,0.00035010921408732093,0.00032785316809424346,1.4880295991349726e-05
21,4,0.0003023507753100264,0.00034818180425464235,0.00032855365173641856,1.3893953346372866e-05
22,4,0.00030460254424584957,0.00034818180425464235,0.0003229698156076891,1.0815864093843565e-05
23,4,0.0003086475286504222,0.0003471557016719564,0.0003291791299826439,1.11292653100488e-05
24,4,0.00030573891071113406,0.0003471557016719564,0.00032935175373123603,1.213736163140694e-05
25,4,0.00029025732455637194,0.0003471557016719564,0.0003232112943665346,1.5499999474890832e-05
26,4,0.00029548486745138594,0.0003476530270682748,0.0003241986467622819,1.5234426967567093e-05
27,4,0.0002991915706688741,0.0003471557016719564,0.0003236624387756982,1.5200997873354192e-05
28,4,0.00030175628459438455,0.0003469623588219379,0.00032760694723227036,1.3186180075411861e-05
29,4,0.0003071697395728882,0.00034088644458718265,0.00032544846864607067,1.1702162046404889e-05
30,4,0.00031454477176565875,0.0003504253975169287,0.0003330335909876092,1.10421381468495e-05
31,4,0.00031483988360427636,0.00034471273289689373,0.0003327651438546195,6.782640785429608e-06
32,4,0.00029678722831169227,0.00034969414899340036,0.0003340586470037145,1.1799194019609855e-05
33,4,0.00032016162163905264,0.00035370597109619044,0.00033376414170230143,1.0216715224704904e-05
34,4,0.00030273712006140876,0.00036241328393358076,0.00033155693721903187,1.6442781212109467e-05
35,4,0.0003222263999596805,0.00035496842511689345,0.00033493277099309307,1.0224319990853304e-05
36,4,0.00030322844817116994,0.00035496842511689345,0.00033494031622252943,1.454895719836946e-05
37,4,0.0003066711171290434,0.00035768622262522887,0.00033512912079337247,1.3904630134336091e-05
38,4,0.00031587500195528714,0.00035768622262522887,0.00033343539758119765,1.1912342557533543e-05
39,4,0.0003057490251752655,0.00034848240073154615,0.0003268314363924051,1.1451779485741247e-05
40,4,0.00031948815859684864,0.0003545305052834418,0.000332796341071706,1.0671700531964175e-05
41,4,0.00031331719584461935,0.0003636861711887914,0.0003362994365167376,1.4930142997781828e-05
42,4,0.0003115995936226638,0.00034848240073154615,0.00033105972547465645,8.967198598336187e-06
43,4,0.00031782198950391146,0.00038344214449317015,0.0003385993984503347,1.9068975184290417e-05
44,4,0.0003072705013152333,0.0003805403627565614,0.00033551526688379413,1.9797114008330852e-05
45,4,0.0003020970339486014,0.0003805403627565614,0.0003395156445922447,2.5217906707147842e-05
46,4,0.0003086219749462644,0.0003653718488582769,0.00033402835045184674,1.4203048851809826e-05
47,4,0.00030110536918693495,0.00037647148825617103,0.0003348601302302203,1.9022252410529803e-05
48,4,0.0003216138691913551,0.00037647148825617103,0.00034205290858862125,1.682495167488007e-05
49,4,0.0003170727213380239,0.0003654234840115455,0.0003474427411467986,1.6044265319281838e-05
50,4,0.00030487538080028147,0.0003677854183637189,0.0003422380145929549,1.5959299977918442e-05
51,4,0.0003015414523219807,0.0003677854183637189,0.0003304823235407572,1.911512174571567e-05
52,4,0.00031015639664799154,0.0003677854183637189,0.0003380413612029883,1.4884581325165362e-05
53,4,0.00031906529330013195,0.00037176652749242224,0.00033895112849950334,1.3248163391384003e-05
54,4,0.00030955136434511645,0.00037101059194984246,0.00033048308306406573,1.5682068232469154e-05
55,4,0.00030907445607946743,0.00037101059194984246,0.00033165774887251994,1.6012722105445177e-05
56,4,0.000306392474783852,0.00038729231477531645,0.00033254613102863686,2.15051385786457e-05
57,4,0.0003091887195168438,0.00038729231477531645,0.00033161622930617617,1.781993487381535e-05
58,4,0.00030696317659493507,0.00038729231477531645,0.0003366211604400287,1.9005646519359098e-05
59,4,0.00031181969393405433,0.00038729231477531645,0.00034238227905708654,1.5203406495829078e-05
